City,country_id,Country,Latitude,Longitude
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
,,,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
,,,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
,,,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
,,,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
,,,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
Auckland,NEW,New Zealand,36.17S,175.03E
